show,segment_name,segment_id,platform,region,source
,US-LR-DM-Acxiom-Tech_BuyWithinSixMonths_Aug25,1311140,DDA,,audience_items
,US-LR-DM-Acxiom-EarlyTechnologyAdopter_Aug25,1311141,DDA,,audience_items
,US-LR-DM-ATVEXP-TravelIntent_TravelPreference_BeachWaterfront,1311142,DDA,,audience_items
,US-LR-DM-Acxiom-TrueTechies_Aug25,1311143,DDA,,audience_items
,US-LR-DM-Acxiom-PremiumTechnologyAdopter_Aug25,1311145,DDA,,audience_items
,US-LR-DM-ATVEXP-TravelIntent_LikelihoodToVisitAmusementPark,1311146,DDA,,audience_items
,US-LR-DM-ATVEXP-RetailShoppers_VacationLeisureTravelers_Luxury,1311147,DDA,,audience_items
,US-LR-DM-ATVEXP-RetailShoppers_Travel_SummerTrips,1311148,DDA,,audience_items
,US-LR-DM-ATVEXP-PurchaseBased_Travel_LuxuryHotels,1311149,DDA,,audience_items
,US-LR-DM-Bridge-Interests_Religion_Aug25,1311150,DDA,,audience_items
,US-LR-DM-ATVEXP-PurchaseBased_Travel_Economy-MidscaleHotels,1311151,DDA,,audience_items
,US-LR-DM-ATVEXP-PurchasePredictorsShoppers_Travel,1311152,DDA,,audience_items
,US-LR-DM-AuDigent-TripsToLA,1311153,DDA,,audience_items
,US-LR-DM-Acxiom-FamilyTravelers,1311154,DDA,,audience_items
,US-LR-DM-Dstillery-ViewingIntender_Nobody2_Aug25,1311155,DDA,,audience_items
,US-LR-DM-Dstillery-ViewingIntender_LoveHurts_Aug25,1311156,DDA,,audience_items
,US-LR-DM-ATVEXP-PurchaseBased_TechnologyTelecom_VerizonMobilePhoneSpenders,1311157,DDA,,audience_items
,US-LR-DM-Dstillery-ViewingIntender_TheMinOfUngentWarfare_Aug25,1311158,DDA,,audience_items
,US-LR-DM-Dstillery-ViewingIntender_ViolentNight_Aug25,1311159,DDA,,audience_items
,US-LR-DM-ATVEXP-PurchaseBased_TechnologyTelecom_TMobileMobilePhoneSpenders,1311160,DDA,,audience_items
,US-LR-DM-ATVEXP-PurchaseBased_TechnologyTelecom_MobileSwitchersFromVerizon,1311161,DDA,,audience_items
,US-LR-DM-ATVEXP-PurchaseBased_TechnologyTelecom_MobileSwitchersFromTMobile,1311162,DDA,,audience_items
,US-LR-DM-ATVEXP-PurchaseBased_TechnologyTelecom_MobileSwitchersFromSprint,1311163,DDA,,audience_items
,US-LR-DM-ATVEXP-PurchaseBased_TechnologyTelecom_MobileSwitchersFromCricket,1311164,DDA,,audience_items
,US-LR-DM-ATVEXP-PurchaseBased_TechnologyTelecom_MobileSwitchersFromBoost,1311165,DDA,,audience_items
,US-LR-DM-ATVEXP-PurchaseBased_TechnologyTelecom_MobileSwitchersFromATT,1311166,DDA,,audience_items
,US-LR-DM-Dstillery-ViewingIntender_MonkeyMan_Aug25,1311167,DDA,,audience_items
,US-LR-DM-ATVEXP-PurchaseBased_TechnologyTelecom_ATTMobilePhoneSpenders,1311168,DDA,,audience_items
,US-LR-DM-Dstillery-ViewingIntender_Expend4bles_Aug25,1311169,DDA,,audience_items
,US-LR-DM-AffinityAnswers-Sports_NFL,1311170,DDA,,audience_items
,US-LR-DM-Dstillery-ViewingIntender_Ambulance_Aug25,1311171,DDA,,audience_items
,US-LR-DM-AffinityAnswers-Sports_NBA,1311172,DDA,,audience_items
,US-LR-DM-Dstillery-ViewingIntender_JohnWick_Aug25,1311173,DDA,,audience_items
,US-LR-DM-AffinityAnswers-Sports_MLS,1311174,DDA,,audience_items
,US-LR-DM-AffinityAnswers-Sports_MLB,1311175,DDA,,audience_items
,US-LR-DM-AffinityAnswers-Sports_HorseRacing,1311176,DDA,,audience_items
,US-LR-DM-AffinityAnswers-Sports_AutoRacing,1311177,DDA,,audience_items
,US-LR-DM-AffinityAnswers-Events_USOpen,1311178,DDA,,audience_items
,US-LR-DM-AffinityAnswers-Events_PGAChampionship,1311180,DDA,,audience_items
,US-LR-DM-AffinityAnswers-Events_MarchMadness,1311182,DDA,,audience_items
,US-LR-DM-AffinityAnswers-Events_NBAPlayoffs,1311183,DDA,,audience_items
,US-LR-DM-Acxiom-Interest_Sports,1311184,DDA,,audience_items
,US-LR-DM-Acxiom-SportsEquipment,1311187,DDA,,audience_items
,US-LR-DM-Acxiom-LuxuryShoppers,1311189,DDA,,audience_items
,US-LR-DM-UltimateData-HomeImprovement_DecorRetailCooperativeBrands,1311190,DDA,,audience_items
,US-LR-DM-UltimateData-ModernFurniture,1311191,DDA,,audience_items
,US-LR-DM-Stirista-BlackFriday_CyberMonday_Shoppers,1311193,DDA,,audience_items
,US-LR-DM-Ibotta-CPG_HomeImprovement,1311195,DDA,,audience_items
,US-LR-DM-ATVEXP-PurchaseBased_ShoppingBehavior_JewelryWatchesHighSpenders,1311197,DDA,,audience_items
,US-LR-DM-ATVEXP-PurchaseBased_ConsumerElectronics_OnlineHighSpenders,1311199,DDA,,audience_items
,US-LR-DM-ATVEXP-PurchaseBased_ConsumerElectronics_InStoreHighSpenders,1311200,DDA,,audience_items
,US-LR-DM-ATVEXP-PurchasePredictors_ElectronicsAppliances,1311201,DDA,,audience_items
,US-LR-DM-ATVEXP-PurchasedBased_ShoppingBehavior_BabyProductsInStore_FrequentSpenders,1311202,DDA,,audience_items
,US-LR-DM-ATVEXP-PurchasedBased_ShoppingBehavior_ChildrenFamilyFamiliesWithBabies,1311203,DDA,,audience_items
